CTLabel,BoroCode,BoroName,CT2010,BoroCT2010,CDEligibil,NTACode,NTAName,PUMA,Shape_Leng,Shape_Area,fullCT,vouchers2012,vouchers2013,vouchers2014,vouchers2015
376,4,Queens,037600,4037600,I,QN08,St. Albans,4112,16756.182849,8230896.92056,36081037600,33,30,28,27
391,3,Brooklyn,039100,3039100,E,BK78,Bushwick South,4002,6244.550923,1788447.77006,36047039100,62,64,52,40
423,3,Brooklyn,042300,3042300,E,BK78,Bushwick South,4002,5572.235017,1961468.20003,36047042300,72,66,62,58
19,4,Queens,001900,4001900,I,QN31,Hunters Point-Sunnyside-West Maspeth,4109,15363.101626,9381831.16955,36081001900,1,1,2,2
171,4,Queens,017100,4017100,I,QN31,Hunters Point-Sunnyside-West Maspeth,4109,23186.486794,13382067.2897,36081017100,-1,-1,,
83,4,Queens,008300,4008300,E,QN71,Old Astoria,4101,7048.15739,2059577.56351,36081008300,22,22,18,18
81,4,Queens,008100,4008100,E,QN71,Old Astoria,4101,5723.34767,1212136.87925,36081008100,1,1,1,
87,4,Queens,008700,4008700,E,QN71,Old Astoria,4101,7272.914218,2724649.18628,36081008700,73,71,70,64
20,1,Manhattan,002000,1002000,E,MN28,Lower East Side,3809,4690.070659,1368554.39532,36061002000,-1,-1,,
24,1,Manhattan,002400,1002400,E,MN28,Lower East Side,3809,8143.066558,1860513.38806,36061002400,-1,-1,,
624,4,Queens,062400,4062400,I,QN99,park-cemetery-etc-Queens,4105,11769.101695,5374590.64009,36081062400,-1,-1,,
626,4,Queens,062600,4062600,I,QN66,Laurelton,4105,9226.581694,4664112.65696,36081062600,8,8,8,7
214,4,Queens,021400,4021400,E,QN35,Briarwood-Jamaica Hills,4106,8483.171196,4031658.21724,36081021400,44,36,43,41
601,4,Queens,060100,4060100,I,QN30,Maspeth,4110,6318.391479,1661594.13162,36081060100,9,9,8,10
603,4,Queens,060300,4060300,I,QN21,Middle Village,4110,6684.563945,1952653.17791,36081060300,2,1,1,1
27,1,Manhattan,002700,1002700,I,MN27,Chinatown,3809,3687.3379,638017.101253,36061002700,-1,-1,1,1
167,1,Manhattan,016700,1016700,I,MN12,Upper West Side,3806,7990.754529,2195089.28028,36061016700,-1,-1,,
159,1,Manhattan,015900,1015900,I,MN14,Lincoln Square,3806,6435.609916,1867947.72982,36061015900,1,1,1,1
163,1,Manhattan,016300,1016300,I,MN12,Upper West Side,3806,9751.044067,2861319.98167,36061016300,-1,-1,,
288,4,Queens,028800,4028800,I,QN76,Baisley Park,4112,12947.860234,8797331.25483,36081028800,60,56,57,59
493.01,4,Queens,049301,4049301,I,QN30,Maspeth,4110,6327.553944,1764042.76764,36081049301,1,3,3,1
497,4,Queens,049700,4049700,I,QN30,Maspeth,4110,6138.603436,2127232.70338,36081049700,2,2,2,1
124,1,Manhattan,012400,1012400,I,MN31,Lenox Hill-Roosevelt Island,3805,5752.909292,1847564.26452,36061012400,-1,-1,,
132,1,Manhattan,013200,1013200,I,MN31,Lenox Hill-Roosevelt Island,3805,5904.30063,2148206.13502,36061013200,1,1,1,1
19,2,Bronx,001900,2001900,E,BX39,Mott Haven-Port Morris,3710,29989.845003,17964480.9589,36005001900,79,87,87,85
23,2,Bronx,002300,2002300,E,BX39,Mott Haven-Port Morris,3710,4717.342123,1126747.39186,36005002300,-1,-1,,
207,5,Staten Island,020700,5020700,E,SI28,Port Richmond,3903,21681.66997,9982026.83345,36085020700,134,135,151,146
213,5,Staten Island,021300,5021300,E,SI28,Port Richmond,3903,14576.699543,8430209.44226,36085021300,50,58,60,58
280,3,Brooklyn,028000,3028000,I,BK27,Bath Beach,4017,6067.523133,1494252.28477,36047028000,3,3,2,6
282,3,Brooklyn,028200,3028200,E,BK27,Bath Beach,4017,6296.177266,1826159.07425,36047028200,11,11,9,13
142.01,4,Queens,014201,4014201,E,QN54,Richmond Hill,4111,6319.31928,2270918.84158,36081014201,36,53,69,56
142.02,4,Queens,014202,4014202,E,QN54,Richmond Hill,4111,12363.494907,6633244.60317,36081014202,15,14,14,14
452,4,Queens,045200,4045200,I,QN35,Briarwood-Jamaica Hills,4106,7233.103669,2217107.87732,36081045200,-1,-1,,
454,4,Queens,045400,4045400,E,QN35,Briarwood-Jamaica Hills,4106,8476.761607,2517110.83184,36081045400,7,6,6,6
665.01,4,Queens,066501,4066501,I,QN21,Middle Village,4110,11677.380936,3506275.54337,36081066501,1,1,,
669,4,Queens,066900,4066900,I,QN21,Middle Village,4110,6021.77138,1723437.32518,36081066900,-1,-1,,
307,3,Brooklyn,030700,3030700,E,BK61,Crown Heights North,4006,7103.16596,2805795.30223,36047030700,51,48,54,53
347,3,Brooklyn,034700,3034700,E,BK61,Crown Heights North,4006,5032.967041,1505056.73892,36047034700,178,170,161,157
857,4,Queens,085700,4085700,E,QN22,Flushing,4103,5338.436241,1425026.4315,36081085700,3,3,3,3
199,4,Queens,019900,4019900,E,QN31,Hunters Point-Sunnyside-West Maspeth,4109,21081.129449,17016560.0139,36081019900,1,-1,,
151,4,Queens,015100,4015100,I,QN70,Astoria,4101,4809.673845,1435760.8836,36081015100,2,2,2,2
163,4,Queens,016300,4016300,E,QN70,Astoria,4101,7722.708494,2348739.49773,36081016300,-1,-1,,
1291.03,4,Queens,129103,4129103,I,QN42,Oakland Gardens,4104,10064.941656,4939099.36025,36081129103,1,1,1,2
118,1,Manhattan,011800,1011800,I,MN31,Lenox Hill-Roosevelt Island,3805,5524.542308,1903276.09728,36061011800,1,1,1,1
126,1,Manhattan,012600,1012600,I,MN31,Lenox Hill-Roosevelt Island,3805,5627.420203,1976487.48125,36061012600,-1,-1,,
1479,4,Queens,147900,4147900,I,QN45,Douglas Manor-Douglaston-Little Neck,4104,15085.985039,9172314.95101,36081147900,-1,-1,,1
1507.02,4,Queens,150702,4150702,I,QN45,Douglas Manor-Douglaston-Little Neck,4104,13263.543457,9156892.98245,36081150702,-1,-1,,
255,1,Manhattan,025500,1025500,E,MN36,Washington Heights South,3801,10770.815933,4756105.99302,36061025500,68,69,68,68
265,1,Manhattan,026500,1026500,E,MN36,Washington Heights South,3801,6148.612017,2067002.72366,36061026500,116,120,120,117
1529.01,4,Queens,152901,4152901,I,QN45,Douglas Manor-Douglaston-Little Neck,4104,16343.934551,15022208.465,36081152901,1,1,1,1
156.02,5,Staten Island,015602,5015602,I,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,3901,13472.350052,9487737.84986,36085015602,1,1,1,1
170.11,5,Staten Island,017011,5017011,I,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,3901,11440.726495,7741847.77518,36085017011,2,2,1,1
146.04,5,Staten Island,014604,5014604,I,SI54,Great Kills,3901,14879.466241,12147647.7607,36085014604,4,5,4,5
156.01,5,Staten Island,015601,5015601,I,SI54,Great Kills,3901,15808.386329,15400571.5916,36085015601,8,5,3,5
343,2,Bronx,034300,2034300,I,BX22,North Riverdale-Fieldston-Riverdale,3701,5043.397491,1318002.7914,36005034300,23,21,21,23
397,2,Bronx,039700,2039700,E,BX06,Belmont,3705,10993.03276,5542454.36267,36005039700,70,67,77,74
399.01,2,Bronx,039901,2039901,E,BX05,Bedford Park-Fordham North,3706,5352.336362,1637824.63868,36005039901,422,402,410,403
334,2,Bronx,033400,2033400,E,BX99,park-cemetery-etc-Bronx,3705,32569.11534,33679548.0161,36005033400,-1,-1,,
336,2,Bronx,033600,2033600,E,BX07,Bronxdale,3704,6220.860408,1985172.08906,36005033600,200,189,189,206
123.01,4,Queens,012301,4012301,I,QN72,Steinway,4101,12016.337184,6366924.70899,36081012301,4,4,2,3
135,4,Queens,013500,4013500,I,QN72,Steinway,4101,5739.010538,1461831.56217,36081013500,-1,-1,,
427,4,Queens,042700,4042700,E,QN25,Corona,4107,6817.942826,1838967.67938,36081042700,20,21,20,18
997.03,4,Queens,099703,4099703,I,QN47,Ft. Totten-Bay Terrace-Clearview,4103,14221.486802,6478257.75474,36081099703,1,1,1,1
997.04,4,Queens,099704,4099704,I,QN47,Ft. Totten-Bay Terrace-Clearview,4103,12441.843903,7174616.04485,36081099704,-1,-1,,
366,4,Queens,036600,4036600,I,QN08,St. Albans,4112,11239.969664,3983781.67175,36081036600,13,13,14,13
76,1,Manhattan,007600,1007600,I,MN17,Midtown-Midtown South,3807,5717.633212,1873514.92606,36061007600,4,4,5,5
