CTLabel,BoroCode,BoroName,CT2000,BoroCT2000,CDEligibil,NTACode,NTANAme,PUMA,Shape_Leng,Shape_Area,fullCT,vouchers2000,vouchers2004,vouchers2005,vouchers2006,vouchers2007,vouchers2008,vouchers2009,vouchers2010,vouchers2011
79,4,Queens,007900,4007900,E,QN71,Old Astoria,4101,5365.901291,1727510.94519,36081007900,9,7,15,17,16,21,23,21,20
91,4,Queens,009100,4009100,E,QN71,Old Astoria,4101,9267.194278,2005223.27621,36081009100,1,0,1,0,0,0,-1,1,1
94,4,Queens,009400,4009400,E,QN55,South Ozone Park,4113,6937.995645,1856415.4422,36081009400,11,12,12,12,13,17,22,21,18
97,4,Queens,009700,4009700,I,QN72,Steinway,4101,6276.088147,2172165.60252,36081009700,1,1,3,2,2,2,2,3,2
101,4,Queens,010100,4010100,I,QN72,Steinway,4101,5978.847556,1859725.40527,36081010100,3,2,4,3,3,3,2,1,1
102,4,Queens,010200,4010200,I,QN55,South Ozone Park,4113,7157.951359,2297180.03361,36081010200,8,9,4,5,7,7,7,8,10
104,4,Queens,010400,4010400,E,QN55,South Ozone Park,4113,6736.550089,2007367.4958,36081010400,6,5,7,7,8,8,7,6,7
106,4,Queens,010600,4010600,E,QN55,South Ozone Park,4113,8845.978321,1862499.23261,36081010600,10,9,9,8,5,4,8,10,9
111,4,Queens,011100,4011100,I,QN72,Steinway,4101,5447.700341,1622555.7136,36081011100,16,12,11,11,11,8,9,8,8
112,4,Queens,011200,4011200,E,QN54,Richmond Hill,4111,6398.945814,2029245.45371,36081011200,5,9,8,11,6,8,12,13,14
113,4,Queens,011300,4011300,E,QN72,Steinway,4101,6050.897473,1922995.98908,36081011300,2,3,2,2,1,0,6,7,6
114,4,Queens,011400,4011400,E,QN54,Richmond Hill,4111,5044.568242,1308603.07083,36081011400,7,6,6,11,11,7,16,17,19
115,4,Queens,011500,4011500,E,QN72,Steinway,4101,7813.649445,2594591.89281,36081011500,1,1,1,0,0,0,-1,-1,-1
116,4,Queens,011600,4011600,E,QN54,Richmond Hill,4111,5806.252835,1502722.92188,36081011600,8,7,6,10,10,18,21,21,19
117,4,Queens,011700,4011700,I,QN72,Steinway,4101,6986.350507,2445717.2093,36081011700,3,3,3,3,4,4,3,3,4
119,4,Queens,011900,4011900,E,QN72,Steinway,4101,4488.11142,1199795.08715,36081011900,4,5,6,5,5,3,3,2,2
121,4,Queens,012100,4012100,I,QN72,Steinway,4101,5080.832383,1484400.36506,36081012100,1,0,0,0,0,0,-1,-1,-1
123,4,Queens,012300,4012300,I,QN72,Steinway,4101,7159.688276,2376294.10627,36081012300,0,1,0,1,1,0,-1,-1,-1
