tract,year,nycha,hud,totPopulation,totPerPopUnder5,totPopPoverty,totPerPoverty,totHouseholds,totFamilies,totWhite,totBlack,totAsian,totHispanic,totYiddish,totNotWhite,totPerNotWhite,totBlackHispanic,totPopUnder5,totPopOver5,totPoverty,totPerHispanic,totPerWhite,totPerAsian,totPerBlack,totPerYiddish,totPerBlackHispanic,boro,neighborhood,sec8HouseholdsNYCHA,sec8PopulationNYCHA,sec8AvgIncomeNYCHA,hhNYCHA,sec8Households,popNYCHA,sec8Population,sec8PerHHWhite,sec8PerHHNotWhite,sec8PerHHBlack,sec8PerHHAsian,sec8PerHHHispanic,sec8TotHHWhite,sec8TotHHNotWhite,sec8TotHHBlack,sec8TotHHAsian,sec8TotHHHispanic,sec8PerPop,sec8PerHH,sec8PerVouchers
36005006400,2014,Y,Y,3565,0.11,3565,0.371,1238,702,156,1174,208,1916,0,3409,0.9562412342215989,3090,392.15,3172.85,1322.615,0.5374474053295932,0.04375876577840112,0.058345021037868164,0.32931276297335205,0,0.8667601683029453,Bronx,West Farms-Bronx River,160,419,,N,177,N,471,0.38,0.62,0.33,0.01,0.28,67.26,109.74,58.410000000000004,1.77,49.56,0.13211781206171108,0.1429725363489499,0.0014280297223813404
36005006500,2014,Y,Y,5847,0.086,5796,0.46399999999999997,1905,1133,254,2090,35,3424,0,5593,0.956558919103814,5514,502.842,5344.158,2689.3439999999996,0.5855994527107918,0.04344108089618608,0.005985975714041389,0.35744826406704294,0,0.9430477167778348,Bronx,Melrose South-Mott Haven North,80,170,,N,242,N,483,0.19,0.81,0.46,0,0.35,45.980000000000004,196.02,111.32000000000001,0,84.69999999999999,0.08260646485377117,0.12703412073490813,0.0019524474170411546
36005006700,2014,Y,Y,7782,0.09300000000000001,7576,0.428,2337,1500,154,2112,0,5137,0,7628,0.9802107427396556,7249,723.7260000000001,7058.273999999999,3242.528,0.6601130814700591,0.019789257260344386,0,0.27139552814186585,0,0.9315086096119249,Bronx,Melrose South-Mott Haven North,58,144,,N,103,N,243,0.26,0.74,0.36,0,0.36,26.78,76.22,37.08,0,37.08,0.03122590593677718,0.044073598630723146,0.0008310003469224749
36005006800,2014,Y,Y,2976,0.078,2976,0.28800000000000003,931,638,128,964,121,1642,0,2848,0.956989247311828,2606,232.128,2743.872,857.0880000000001,0.551747311827957,0.043010752688172046,0.04065860215053763,0.3239247311827957,0,0.8756720430107527,Bronx,Soundview-Bruckner,134,370,,N,141,N,384,0.39,0.61,0.38,0.01,0.21,54.99,86.01,53.58,1.41,29.61,0.12903225806451613,0.1514500537056928,0.0011375829991851355
36005006900,2014,Y,Y,7769,0.133,7736,0.425,2592,1685,85,2921,120,4545,0,7684,0.9890590809628009,7466,1033.277,6735.723,3287.7999999999997,0.585017376753765,0.010940919037199124,0.015446003346634058,0.37598146479598404,0,0.960998841549749,Bronx,Melrose South-Mott Haven North,128,294,,N,229,N,544,0.22,0.78,0.46,0.01,0.3,50.38,178.62,105.34,2.29,68.7,0.0700218818380744,0.08834876543209877,0.001847563878109192
36005007000,2014,Y,Y,4646,0.092,4589,0.287,1302,1017,86,1067,352,2896,0,4560,0.9814894532931554,3963,427.432,4218.568,1317.043,0.623331898407232,0.018510546706844596,0.07576409814894533,0.22965992251399053,0,0.8529918209212226,Bronx,Soundview-Bruckner,116,323,,N,133,N,385,0.33,0.67,0.32,0.02,0.33,43.89,89.11,42.56,2.66,43.89,0.08286698235040896,0.10215053763440861,0.0010730392829193124
36005007100,2014,Y,Y,2358,0.079,2270,0.27899999999999997,744,592,26,871,4,1432,0,2332,0.9889737065309584,2303,186.282,2171.718,633.3299999999999,0.6072943172179813,0.01102629346904156,0.0016963528413910093,0.3693808312128923,0,0.9766751484308737,Bronx,Melrose South-Mott Haven North,30,59,,N,59,N,129,0.14,0.86,0.49,0,0.37,8.260000000000002,50.74,28.91,0,21.83,0.054707379134860054,0.0793010752688172,0.0004760099074604468
36005007200,2014,Y,Y,5981,0.098,5957,0.312,1726,1186,252,826,1181,3308,0,5729,0.9578665774954022,4134,586.138,5394.862,1858.584,0.5530847684333724,0.042133422504597895,0.19745861896004013,0.1381039959872931,0,0.6911887644206655,Bronx,Soundview-Bruckner,124,258,,N,139,N,292,0.35,0.65,0.32,0.03,0.3,48.65,90.35000000000001,44.480000000000004,4.17,41.699999999999996,0.04882126734659756,0.08053302433371959,0.0011214470701186798
36005007300,2014,Y,Y,3735,0.085,3723,0.43200000000000005,1332,876,25,1179,0,2465,0,3710,0.9933065595716198,3644,317.475,3417.525,1608.3360000000002,0.6599732262382865,0.006693440428380187,0,0.3156626506024096,0,0.9756358768406961,Bronx,Melrose South-Mott Haven North,149,384,,N,180,N,449,0.25,0.75,0.42,0.01,0.32,45,135,75.6,1.8,57.6,0.12021419009370816,0.13513513513513514,0.001452233615981024
36005007400,2014,Y,Y,3724,0.04,3724,0.188,1383,846,57,1048,7,2612,0,3667,0.9846938775510204,3660,148.96,3575.04,700.112,0.7013963480128894,0.015306122448979591,0.0018796992481203006,0.2814178302900107,0,0.9828141783029001,Bronx,Soundview-Castle Hill-Clason Point-Harding Park,168,452,,N,216,N,605,0.42,0.58,0.35,0,0.23,90.72,125.27999999999999,75.6,0,49.68,0.1624597207303974,0.1561822125813449,0.001742680339177229
